search_date,from_location,to_location,departure_time,arrival_time,price_adult,price_child,operator,vessel
"08 Feb, 2025",Koh Phangan (Thongsala Pier),Hua Hin,08:30,18:00,THB 1350,THB 675,Operator_e7a4dd32,Ferry + Bus
"08 Feb, 2025",Koh Phangan (Thongsala Pier),Hua Hin,13:00,21:45,THB 1350,THB 675,Operator_e7a4dd32,Ferry + Bus
"08 Feb, 2025",Koh Phangan (Thongsala Pier),Chumphon (Thung Makham Noi Pier),08:30,11:45,THB 1090,THB 550,Operator_e7a4dd32,Ferry
"08 Feb, 2025",Koh Phangan (Thongsala Pier),Chumphon (Thung Makham Noi Pier),13:00,16:30,THB 1090,THB 550,Operator_e7a4dd32,Ferry
"08 Feb, 2025",Koh Phangan (Thongsala Pier),Bangkok (Pinklao),08:30,20:30,THB 1350,THB 675,Operator_e7a4dd32,Ferry + Bus
"08 Feb, 2025",Koh Phangan (Thongsala Pier),Bangkok (Pinklao),13:00,00:45,THB 1350,THB 675,Operator_e7a4dd32,Ferry + Bus
"08 Feb, 2025",Koh Phangan (Thongsala Pier),Koh Tao (Mae Haad Pier),08:30,09:30,THB 590,THB 290,Operator_e7a4dd32,Ferry
"08 Feb, 2025",Koh Phangan (Thongsala Pier),Koh Tao (Mae Haad Pier),12:00,13:30,THB 450,THB 225,Operator_e7a4dd32,Ferry
"08 Feb, 2025",Koh Phangan (Thongsala Pier),Koh Tao (Mae Haad Pier),12:30,14:15,THB 450,THB 225,Operator_a6647d2e,Ferry
"08 Feb, 2025",Koh Phangan (Thongsala Pier),Koh Tao (Mae Haad Pier),13:00,14:15,THB 590,THB 290,Operator_e7a4dd32,Ferry
"08 Feb, 2025",Koh Phangan (Thongsala Pier),Koh Tao (Mae Haad Pier),15:00,16:00,THB 590,THB 290,Operator_02c9d7f7,Ferry
"08 Feb, 2025",Koh Phangan (Thongsala Pier),Koh Tao (Mae Haad Pier),16:45,17:45,THB 590,THB 290,Operator_e7a4dd32,Ferry
"08 Feb, 2025",Koh Phangan (Thongsala Pier),Hua Hin,08:30,18:00,THB 1350,THB 675,Operator_e7a4dd32,Ferry + Bus
"08 Feb, 2025",Koh Phangan (Thongsala Pier),Hua Hin,13:00,21:45,THB 1350,THB 675,Operator_e7a4dd32,Ferry + Bus
"08 Feb, 2025",Koh Phangan (Thongsala Pier),Koh Tao (Mae Haad Pier),08:30,09:30,THB 590,THB 290,Operator_e7a4dd32,Ferry
"08 Feb, 2025",Koh Phangan (Thongsala Pier),Koh Tao (Mae Haad Pier),12:00,13:30,THB 450,THB 225,Operator_e7a4dd32,Ferry
"08 Feb, 2025",Koh Phangan (Thongsala Pier),Koh Tao (Mae Haad Pier),12:30,14:15,THB 450,THB 225,Operator_a6647d2e,Ferry
"08 Feb, 2025",Koh Phangan (Thongsala Pier),Koh Tao (Mae Haad Pier),13:00,14:15,THB 590,THB 290,Operator_e7a4dd32,Ferry
"08 Feb, 2025",Koh Phangan (Thongsala Pier),Koh Tao (Mae Haad Pier),15:00,16:00,THB 590,THB 290,Operator_02c9d7f7,Ferry
"08 Feb, 2025",Koh Phangan (Thongsala Pier),Koh Tao (Mae Haad Pier),16:45,17:45,THB 590,THB 290,Operator_e7a4dd32,Ferry
"08 Feb, 2025",Koh Phangan (Thongsala Pier),Chumphon (Thung Makham Noi Pier),08:30,11:45,THB 1090,THB 550,Operator_e7a4dd32,Ferry
"08 Feb, 2025",Koh Phangan (Thongsala Pier),Chumphon (Thung Makham Noi Pier),13:00,16:30,THB 1090,THB 550,Operator_e7a4dd32,Ferry
"08 Feb, 2025",Koh Phangan (Thongsala Pier),Bangkok (Pinklao),08:30,20:30,THB 1350,THB 675,Operator_e7a4dd32,Ferry + Bus
"08 Feb, 2025",Koh Phangan (Thongsala Pier),Bangkok (Pinklao),13:00,00:45,THB 1350,THB 675,Operator_e7a4dd32,Ferry + Bus
"08 Feb, 2025",Koh Phangan (Thongsala Pier),Chumphon (Thung Makham Noi Pier),08:30,11:45,THB 1090,THB 550,Operator_e7a4dd32,Ferry
"08 Feb, 2025",Koh Phangan (Thongsala Pier),Chumphon (Thung Makham Noi Pier),13:00,16:30,THB 1090,THB 550,Operator_e7a4dd32,Ferry
"08 Feb, 2025",Koh Phangan (Thongsala Pier),Bangkok (Pinklao),08:30,20:30,THB 1350,THB 675,Operator_e7a4dd32,Ferry + Bus
"08 Feb, 2025",Koh Phangan (Thongsala Pier),Bangkok (Pinklao),13:00,00:45,THB 1350,THB 675,Operator_e7a4dd32,Ferry + Bus
"08 Feb, 2025",Koh Phangan (Thongsala Pier),Hua Hin,08:30,18:00,THB 1350,THB 675,Operator_e7a4dd32,Ferry + Bus
"08 Feb, 2025",Koh Phangan (Thongsala Pier),Hua Hin,13:00,21:45,THB 1350,THB 675,Operator_e7a4dd32,Ferry + Bus
"08 Feb, 2025",Koh Phangan (Thongsala Pier),Koh Tao (Mae Haad Pier),08:30,09:30,THB 590,THB 290,Operator_e7a4dd32,Ferry
"08 Feb, 2025",Koh Phangan (Thongsala Pier),Koh Tao (Mae Haad Pier),12:00,13:30,THB 450,THB 225,Operator_e7a4dd32,Ferry
"08 Feb, 2025",Koh Phangan (Thongsala Pier),Koh Tao (Mae Haad Pier),12:30,14:15,THB 450,THB 225,Operator_a6647d2e,Ferry
"08 Feb, 2025",Koh Phangan (Thongsala Pier),Koh Tao (Mae Haad Pier),13:00,14:15,THB 590,THB 290,Operator_e7a4dd32,Ferry
"08 Feb, 2025",Koh Phangan (Thongsala Pier),Koh Tao (Mae Haad Pier),15:00,16:00,THB 590,THB 290,Operator_02c9d7f7,Ferry
"08 Feb, 2025",Koh Phangan (Thongsala Pier),Koh Tao (Mae Haad Pier),16:45,17:45,THB 590,THB 290,Operator_e7a4dd32,Ferry
"08 Feb, 2025",Koh Phangan (Thongsala Pier),Bangkok (Pinklao),08:30,20:30,THB 1350,THB 675,Operator_e7a4dd32,Ferry + Bus
"08 Feb, 2025",Koh Phangan (Thongsala Pier),Bangkok (Pinklao),13:00,00:45,THB 1350,THB 675,Operator_e7a4dd32,Ferry + Bus
"08 Feb, 2025",Koh Phangan (Thongsala Pier),Chumphon (Thung Makham Noi Pier),08:30,11:45,THB 1090,THB 550,Operator_e7a4dd32,Ferry
"08 Feb, 2025",Koh Phangan (Thongsala Pier),Chumphon (Thung Makham Noi Pier),13:00,16:30,THB 1090,THB 550,Operator_e7a4dd32,Ferry
"08 Feb, 2025",Koh Phangan (Thongsala Pier),Koh Tao (Mae Haad Pier),08:30,09:30,THB 590,THB 290,Operator_e7a4dd32,Ferry
"08 Feb, 2025",Koh Phangan (Thongsala Pier),Koh Tao (Mae Haad Pier),12:00,13:30,THB 450,THB 225,Operator_e7a4dd32,Ferry
"08 Feb, 2025",Koh Phangan (Thongsala Pier),Koh Tao (Mae Haad Pier),12:30,14:15,THB 450,THB 225,Operator_a6647d2e,Ferry
"08 Feb, 2025",Koh Phangan (Thongsala Pier),Koh Tao (Mae Haad Pier),13:00,14:15,THB 590,THB 290,Operator_e7a4dd32,Ferry
"08 Feb, 2025",Koh Phangan (Thongsala Pier),Koh Tao (Mae Haad Pier),15:00,16:00,THB 590,THB 290,Operator_02c9d7f7,Ferry
"08 Feb, 2025",Koh Phangan (Thongsala Pier),Koh Tao (Mae Haad Pier),16:45,17:45,THB 590,THB 290,Operator_e7a4dd32,Ferry
"08 Feb, 2025",Koh Phangan (Thongsala Pier),Hua Hin,08:30,18:00,THB 1350,THB 675,Operator_e7a4dd32,Ferry + Bus
"08 Feb, 2025",Koh Phangan (Thongsala Pier),Hua Hin,13:00,21:45,THB 1350,THB 675,Operator_e7a4dd32,Ferry + Bus
"08 Feb, 2025",Koh Phangan (Thongsala Pier),Donsak (Raja Ferry Pier),05:00,07:30,THB 290,,Operator_84e8c314,Ferry
"08 Feb, 2025",Koh Phangan (Thongsala Pier),Donsak (Seatran Pier),05:30,08:00,THB 330,,Operator_0556de86,Ferry
"08 Feb, 2025",Koh Phangan (Thongsala Pier),Donsak (Raja Ferry Pier),08:00,10:30,THB 290,,Operator_84e8c314,Ferry
"08 Feb, 2025",Koh Phangan (Thongsala Pier),Donsak (Lomprayah Pier),08:00,09:30,THB 550,THB 275,Operator_e7a4dd32,Ferry
"08 Feb, 2025",Koh Phangan (Thongsala Pier),Donsak (Seatran Pier),08:30,11:00,THB 330,,Operator_0556de86,Ferry
"08 Feb, 2025",Koh Phangan (Thongsala Pier),Donsak (Lomprayah Pier),11:00,12:45,THB 550,THB 275,Operator_e7a4dd32,Ferry
"08 Feb, 2025",Koh Phangan (Thongsala Pier),Donsak (Raja Ferry Pier),11:00,13:30,THB 290,,Operator_84e8c314,Ferry
"08 Feb, 2025",Koh Phangan (Thongsala Pier),Donsak (Seatran Pier),11:30,14:00,THB 330,,Operator_0556de86,Ferry
"08 Feb, 2025",Koh Phangan (Thongsala Pier),Donsak (Raja Ferry Pier),14:00,16:30,THB 290,,Operator_84e8c314,Ferry
"08 Feb, 2025",Koh Phangan (Thongsala Pier),Donsak (Seatran Pier),14:30,17:00,THB 330,,Operator_0556de86,Ferry
